epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,227.604,1.18386,0.97702,1.03259,0.36971,0.23357,0.2355,0.13502,1.85224,3.44952,1.27719,6.20414e-05,6.20414e-05,6.20414e-05
68,230.604,1.14889,0.97893,1.02805,0.39666,0.21764,0.24839,0.13855,1.71628,3.44934,1.2033,6.02693e-05,6.02693e-05,6.02693e-05
69,233.551,1.18137,0.97181,1.01734,0.4294,0.20109,0.25566,0.15095,1.61804,3.42922,1.14892,5.84972e-05,5.84972e-05,5.84972e-05
70,236.511,1.18867,0.92591,1.02856,0.4071,0.20196,0.26008,0.15181,1.56484,3.39091,1.12129,5.67251e-05,5.67251e-05,5.67251e-05
71,239.385,1.16872,0.93721,1.03131,0.40325,0.21873,0.25855,0.15017,1.56457,3.39575,1.12404,5.4953e-05,5.4953e-05,5.4953e-05
72,242.249,1.15953,0.95556,1.01922,0.42669,0.19386,0.24738,0.13574,1.69271,3.42838,1.19667,5.31809e-05,5.31809e-05,5.31809e-05
73,245.388,1.12121,0.88418,0.99934,0.46706,0.18593,0.24774,0.13638,1.68411,3.4421,1.19545,5.14088e-05,5.14088e-05,5.14088e-05
74,248.36,1.10057,0.87901,0.99162,0.38576,0.22229,0.24402,0.13936,1.64026,3.43315,1.17365,4.96367e-05,4.96367e-05,4.96367e-05
75,251.661,1.15624,0.94407,1.01851,0.3857,0.22597,0.25318,0.14415,1.5819,3.42047,1.14247,4.78646e-05,4.78646e-05,4.78646e-05
76,254.791,1.15628,0.92573,1.00508,0.38227,0.21241,0.24165,0.13501,1.61518,3.4562,1.16269,4.60925e-05,4.60925e-05,4.60925e-05
77,257.803,1.18138,0.92207,1.01211,0.29464,0.19733,0.21797,0.12848,1.70466,3.48062,1.21323,4.43204e-05,4.43204e-05,4.43204e-05
78,260.61,1.10042,0.88486,0.99073,0.3241,0.19112,0.21299,0.11936,1.78606,3.5251,1.25908,4.25483e-05,4.25483e-05,4.25483e-05
79,263.481,1.1176,0.89061,0.98491,0.32455,0.18738,0.21096,0.11256,1.81458,3.54989,1.27296,4.07762e-05,4.07762e-05,4.07762e-05
80,266.521,1.09163,0.88493,0.99842,0.33938,0.18243,0.19895,0.11276,1.74581,3.56629,1.23011,3.90041e-05,3.90041e-05,3.90041e-05
81,269.53,1.10046,0.89769,1.00908,0.34648,0.19169,0.19708,0.1073,1.75144,3.58337,1.23144,3.7232e-05,3.7232e-05,3.7232e-05
82,272.751,1.0561,0.84371,0.99374,0.39876,0.18302,0.19539,0.10371,1.8019,3.59716,1.25711,3.54599e-05,3.54599e-05,3.54599e-05
83,275.766,1.08982,0.88432,0.99125,0.41788,0.16844,0.19232,0.09631,1.86805,3.60543,1.28454,3.36878e-05,3.36878e-05,3.36878e-05
84,278.929,1.09719,0.9005,1.01431,0.3641,0.17093,0.20298,0.10676,1.87711,3.59378,1.28947,3.19157e-05,3.19157e-05,3.19157e-05
85,282.043,1.07702,0.87265,0.99332,0.36169,0.17239,0.20585,0.11147,1.83526,3.56839,1.26679,3.01436e-05,3.01436e-05,3.01436e-05
86,284.897,1.06092,0.85452,0.99424,0.36035,0.17322,0.20556,0.11628,1.77939,3.54689,1.2409,2.83715e-05,2.83715e-05,2.83715e-05
87,288.162,1.06302,0.83223,0.98436,0.37567,0.18846,0.21078,0.12141,1.73537,3.52348,1.21968,2.65994e-05,2.65994e-05,2.65994e-05
88,291.37,1.08894,0.89113,1.01201,0.32948,0.19816,0.21179,0.12309,1.68478,3.47875,1.19783,2.48273e-05,2.48273e-05,2.48273e-05
89,294.29,1.06171,0.83287,0.95973,0.34124,0.20749,0.22228,0.12744,1.67262,3.47644,1.19493,2.30552e-05,2.30552e-05,2.30552e-05
90,297.241,1.09041,0.88738,1.01362,0.32857,0.20074,0.21981,0.12715,1.67424,3.47504,1.1994,2.12831e-05,2.12831e-05,2.12831e-05
91,300.165,1.12985,0.85794,1.03798,0.35534,0.19983,0.21423,0.12527,1.69874,3.48636,1.21689,1.9511e-05,1.9511e-05,1.9511e-05
92,302.869,1.06334,0.87544,0.9938,0.32312,0.20257,0.1936,0.10518,1.8227,3.54193,1.29148,1.77389e-05,1.77389e-05,1.77389e-05
93,305.508,1.07914,0.87076,0.9987,0.29259,0.20447,0.18807,0.09773,1.87313,3.56379,1.3222,1.59668e-05,1.59668e-05,1.59668e-05
94,308.377,1.05793,0.85863,0.99769,0.26644,0.20522,0.19112,0.09597,1.88507,3.58134,1.33338,1.41947e-05,1.41947e-05,1.41947e-05
95,311.351,1.03732,0.86323,0.99442,0.26539,0.20438,0.19103,0.09612,1.86978,3.57544,1.32532,1.24226e-05,1.24226e-05,1.24226e-05
96,314.855,1.09466,0.88497,1.00569,0.32381,0.20409,0.19981,0.10564,1.76404,3.53836,1.26223,1.06505e-05,1.06505e-05,1.06505e-05
97,320.414,1.06018,0.88383,0.99099,0.29593,0.20361,0.20166,0.10923,1.70937,3.51994,1.22803,8.8784e-06,8.8784e-06,8.8784e-06
98,323.535,1.02692,0.84474,0.99146,0.30151,0.21334,0.21143,0.11467,1.66826,3.5113,1.20402,7.1063e-06,7.1063e-06,7.1063e-06
99,326.535,1.02256,0.82641,0.9825,0.34203,0.21632,0.2155,0.11511,1.63405,3.48898,1.18519,5.3342e-06,5.3342e-06,5.3342e-06
100,329.276,1.0407,0.82567,1.02087,0.34109,0.21751,0.21461,0.11553,1.61133,3.48846,1.17032,3.5621e-06,3.5621e-06,3.5621e-06
